,name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,H,neo,pha,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,G,moid,class,n,per,ma
0,,1.868908787646573,0.0908021420790034,19.05152416710823,283.4216243569145,15.18928019419923,1.699207866377991,2.038609708915155,2.55499680508174,34.0,6,14,17.699,N,N,,,,,,,,,,,,0.685457,IMB,0.3857641940714778,933.212583056104,205.8310463345911
1,,3.038918246008128,0.06909416325919607,9.948161913510583,217.4084065387949,95.63756991034047,2.828946732587093,3.248889759429164,5.29769226668501,10333.0,0,480,14.6,N,N,4.232,,0.171,,,,,,,,,1.83752,MBA,0.1860482326551416,1934.982100406698,226.2419353519707
2,,3.115962206684967,0.07801846069492116,9.781654670319169,175.6907525975473,82.87982852340652,2.872859631735856,3.359064781634078,5.5004278775169,7157.0,0,238,15.4,N,N,,,,,,,,,,,,1.87975,MBA,0.1791908384793705,2009.031282263046,9.745960394105984
3,,2.781802934600736,0.2006056078575526,9.233482205114678,19.6774725999038,164.0544804715082,2.223757665965232,3.339848203236241,4.63978379426249,7498.0,0.0,588,15.1,N,N,5.093,,0.068,,,,,,,,,1.22752,MBA,0.2124293559942108,1694.681030854374,97.86438629401763
4,,2.573917868165298,0.2605660959360208,1.961687286421097,341.2774687326055,112.5739557718253,1.903242137997501,3.244593598333095,4.12952623382199,5778.0,1,110,17.9,N,N,,,,,,,,,,,,0.921069,MBA,0.2386778113418916,1508.309456903481,171.7031838776847
5,,2.728537553638499,0.1550703884948881,8.090335272075626,292.5231920192685,2.24542712932014,2.305422175172885,3.151652932104112,4.50716135004603,7119.0,0,428,15.5,N,N,,,,,,,,,,,,1.2887,MBA,0.2186800531020462,1646.240683104313,15.59526774114089
6,,2.668540987079585,0.122947724596157,3.681845257196966,191.1805614339235,72.36688666884241,2.340449944726567,2.996632029432603,4.35932269806554,9.0,8,12,18.713,N,N,,,,,,,,,,,,1.32729,MBA,0.2260961969631038,1592.24261546844,301.2465823720209
7,,3.142556928977815,0.2664558875967366,14.57177581873781,154.0982888277252,302.0944417900187,2.305204133143757,3.979909724811874,5.57099710912434,81.0,4,23,17.1,N,N,,,,,,,,,,,,1.35835,MBA,0.1769209827363344,2034.806694107666,304.1746722904619
8,,2.37991798980382,0.2040776132664099,1.670156271881644,242.0484160235485,34.8748829900599,1.894230006674864,2.865605972932776,3.67156473659233,8592.0,0,278,16.9,N,N,,,,,,,,,,,,0.877585,MBA,0.2684485645981935,1341.03902004035,95.51310414162268
9,,2.377866354833771,0.142080001880548,1.602230754051025,230.5849926226122,357.4316742005961,2.040019098667297,2.715713611000245,3.66681808965349,6032.0,0,257,17.0,N,N,,,,,,,,,,,,1.0301,MBA,0.2687960676720392,1339.305307245937,129.5741900123901
10,,2.866928049019351,0.1178753781059207,9.745281095855349,153.0743967080291,233.9996021179181,2.528987821238726,3.204868276799977,4.85437578498079,3693.0,0,74,16.8,N,N,,,,,,,,,,,,1.54552,MBA,0.2030387277427176,1773.060755464235,126.6770014369139
11,,3.098087836446876,0.1769646257931521,11.57496027322906,145.0700551473381,71.38221379875289,2.549835881795739,3.646339791098014,5.45316692869819,6870.0,0.0,901,14.3,N,N,,,,,,,,,,,,1.57344,MBA,0.1807438312919664,1991.769220707014,51.6305449466402
12,,2.631281013658871,0.09799455232902254,13.64893850187204,273.2221460531445,136.8932211802995,2.373429808673513,2.889132218644229,4.26834043153759,6801.0,0,259,15.6,N,N,,,,,,,,,,,,1.40327,MBA,0.2309155746071789,1559.011342619105,177.140023636059
13,,2.453024727233427,0.1470627867233519,4.379385866332838,78.2786365165196,58.73505581355394,2.092276074945189,2.813773379521665,3.84203300487829,8478.0,0,155,17.4,N,N,,,,,,,,,,,,1.11049,MBA,0.2565376929651801,1403.302555031797,18.06299609676697
14,,2.682239150808283,0.148360527865051,12.8354015659147,357.4758361805397,267.3860855889214,2.28430073453406,3.080177567082506,4.39293167176955,555.0,4,25,17.6,N,N,,,,,,,,,,,,1.31303,MBA,0.224366404262903,1604.518293113827,265.6779326947882
15,,2.580156517935808,0.08937384187881159,9.795762480220798,123.5000705778676,227.1778416591684,2.349558017279228,2.810755018592388,4.14454901646412,4858.0,0,85,16.8,N,N,,,,,,,,,,,,1.35257,MBA,0.2378126738161811,1513.796528263521,193.3586576449262
16,,2.494821742226802,0.1003984392185503,3.457034652682962,90.49928138412668,69.31971307108918,2.244345533178727,2.745297951274877,3.94064654429666,6383.0,0,211,17.1,N,N,,,,,,,,,,,,1.2564,MBA,0.2501179114361485,1439.321150304355,233.9250886200857
17,,2.532656531847788,0.1509507514279007,7.307952785998325,152.8476715428276,256.6277956575137,2.150350125256583,2.914962938438992,4.03062734704207,10256.0,0,1172,14.4,N,N,4.27,,0.202,,,,,,,,,1.17367,MBA,0.2445342122959772,1472.186638507116,135.6808055974112
18,,2.694442930548224,0.1495874145810358,10.80469373267985,310.4485538589072,298.6157386691623,2.291388178831366,3.097497682265083,4.42294650328363,17099.0,0,1393,13.7,N,N,5.227,,0.281,,,,,,,,,1.29956,MBA,0.2228438174949258,1615.481210324344,347.7653406533267
19,,3.110223258117748,0.08868911208213198,11.15842925803882,61.1010832251444,342.9352018558042,2.834380318978089,3.386066197257406,5.48523892559823,4023.0,0,88,16.2,N,N,,,,,,,,,,,,1.84572,MBA,0.1796870285390643,2003.483517574755,72.79265250247086
20,,2.286937755134183,0.248685573364912,8.687707729056035,42.54508088070772,186.7973533515455,1.718209328248774,2.855666182019593,3.45851543922013,8.0,9,14,17.1,N,N,,,,,,,,,,,,0.708227,MBA,0.2849853645845828,1263.222764175151,165.3491997694582
21,,2.333880992198641,0.1909592283838155,3.907306892435775,102.1733633976402,195.2320406760686,1.888204878788735,2.779557105608547,3.56554779801342,7644.0,0,230,17.1,N,N,,,,,,,,,,,,0.871944,MBA,0.276430534437572,1302.3163332244,320.687003684409
22,,1.930156331431707,0.2206101945493855,18.63458687523121,138.7126733985434,353.9343466177746,1.50434416764383,2.355968495219583,2.68161811606998,6408.0,0,111,18.4,N,N,,,,,,,,,,,,0.519512,MCA,0.367549084435644,979.4610168945588,292.9760504435172
23,,2.976146566688417,0.08502263428446452,9.054104195631158,241.844436914491,159.6800234540087,2.723106745571902,3.22918638780493,5.13439970740324,14.0,7.0,12,17.108,N,N,,,,,,,,,,,,1.73366,MBA,0.1919652421969392,1875.339493129033,306.4682475309685
24,,2.648999973894478,0.1993765571451068,13.51150844728381,45.36015989477352,277.9525831103182,2.120851479221919,3.177148468567037,4.31152723002039,7630.0,0,836,14.2,N,N,4.387,,0.11,,,,,,,,,1.15932,MBA,0.2286025880817401,1574.785320764947,308.6869880190773
25,,2.540673375229186,0.2705770222841001,7.757698862562615,297.9915793630121,71.43883615339526,1.853225538763179,3.228121211695194,4.04978023948186,9182.0,0,86,17.0,N,N,,,,,,,,,,,,0.868792,MBA,0.2433777205386481,1479.182232470751,179.9795590140539
26,,2.839808219458153,0.1485939983233469,15.29331919140669,184.0711712631748,177.0075153282739,2.417829761657361,3.261786677258944,4.7856586709352,2837.0,0,70,17.1,N,N,,,,,,,,,,,,1.41444,MBA,0.205954154096608,1747.961829559082,3.673665941614203
27,,2.570811743933293,0.04510866974823805,5.718256985040179,66.75187938542756,346.122615866143,2.454845845991315,2.686777641875272,4.12205341322681,4379.0,0,92,17.4,N,N,,,,,,,,,,,,1.4659,MBA,0.23911050744876,1505.580009181093,9.93204782891004
28,,3.140107142025133,0.1360441377208307,12.62114188872483,6.606008974229857,119.5938158421449,2.712913973537301,3.567300310512965,5.56448405484574,49.0,4,15,16.969,N,N,,,,,,,,,,,,1.75389,MBA,0.1771280632045734,2032.427801032405,259.7346552864657
29,Shakura,2.233993657802623,0.1370494464819135,7.819878530824392,0.6533783041483093,20.36215881615118,1.927826063556669,2.540161252048578,3.33911292020846,16363.0,0,1722,14.1,N,N,3.451,,0.448,,,,,,,,,0.93091,MBA,0.295176086260067,1219.61099410614,73.49043612708427
30,,2.811867255116739,0.03483934817253795,3.793306947671605,171.8810745565424,18.86724457299746,2.713903632800768,2.90983087743271,4.71520331384496,7497.0,0,268,16.1,N,N,,,,,,,,,,,,1.71413,MBA,0.2090315555372814,1722.228010381872,60.84063361260014
31,,1.918696633822992,0.1020171233414323,21.36025723676919,44.0253517175357,305.3403986689499,1.722956722675481,2.114436544970503,2.65777169978334,6443.0,0,177,17.7,N,N,,,,,,,,,,,,0.773075,IMB,0.3708468577071179,970.7511133458644,252.1752313045031
32,,2.300059853540557,0.08436512157023615,6.302323665222978,239.9637202754294,179.7202881018268,2.106015024377789,2.494104682703326,3.48832474504099,20.0,6.0,10,17.745,N,N,,,,,,,,,,,,1.11805,MBA,0.2825500363086104,1274.110613126223,165.338717389562
33,,2.551221654576745,0.1627791864137886,8.146453709059235,35.2987660675632,62.04686413566225,2.135935869283502,2.966507439869987,4.07502700400737,8571.0,0,633,15.8,N,N,,,,,,,,,,,,1.16659,MBA,0.2418698777697166,1488.403613213691,324.596474430279
34,,3.146804950381092,0.250250471862397,14.99196430061589,316.9144464896874,66.30531485729084,2.359315526689297,3.934294374072888,5.58229700504782,4503.0,0,83,16.2,N,N,,,,,,,,,,,,1.4062,MBA,0.1765628526171751,2038.933981093717,136.6411778062963
35,,3.190944814182584,0.04031445976690629,1.566833559979821,143.7958237055571,204.778085720719,3.062303597852802,3.319586030512366,5.70016126085171,5282.0,0,78,16.6,N,N,,,,,,,,,,,,2.05436,MBA,0.1729119999002072,2081.983900526088,341.4966866902556
36,,3.129271982941192,0.1034638248607574,14.10007343471503,3.387065872964095,68.4529050401681,2.805505534556489,3.453038431325895,5.53570795257598,7071.0,0,156,15.7,N,N,3.967,,,,,,,,,,,1.85499,MBA,0.1780488226278098,2021.917329678376,253.0758145391468
37,,2.642284381008022,0.1215204925079371,4.12949508500929,100.8331779734018,3.691203419404556,2.321192681681898,2.963376080334147,4.29514212062235,6226.0,0.0,365,16.3,N,N,,,,,,,,,,,,1.33825,MBA,0.2294746613005541,1568.800659557312,321.9006179232583
38,,2.252457299219999,0.1032384948889429,7.482907374742527,349.477421857075,58.4871580806673,2.019916997846913,2.484997600593084,3.38059427923626,3691.0,0.0,108,18.0,N,N,,,,,,,,,,,,1.03922,MBA,0.2915541475714226,1234.762060491045,274.0258924499635
39,,2.784483312740133,0.03625584669552999,5.272016034778499,240.2354518210104,79.86980021379283,2.683529512627165,2.885437112853101,4.6464913346245,6055.0,0.0,84,17.072,N,N,,,,,,,,,,,,1.67572,MBA,0.2121226991263092,1697.1309599716,79.04994029827793
40,,3.048244335189711,0.1222033625031324,14.9946829517129,247.6443210551178,135.2596454042499,2.675738627698403,3.42075004268102,5.32209797608727,4.0,8,13,17.655,N,N,,,,,,,,,,,,1.70292,MBA,0.1851950655166582,1943.896285765876,21.12916553616239
41,,3.195667250311609,0.07011809412838861,9.580485125340727,150.13244127831,268.9954165963084,2.97159315325125,3.419741347371966,5.71281986487806,1773.0,1,47,16.8,N,N,,,,,,,,,,,,2.00385,MBA,0.1725288573209012,2086.60745564671,205.5093052819754
42,,2.614192037959311,0.0960196058438708,4.21991032249514,253.7698875970771,8.71871044531419,2.363178348874273,2.865205727044349,4.22682661767335,4826.0,0,186,16.6,N,N,,,,,,,,,,,,1.34734,MBA,0.2331835139029413,1543.848422105192,189.2580802648176
43,,2.313145824000764,0.1361230822956113,7.061761052100143,238.2006653980934,169.4116448623076,1.998273284638558,2.628018363362969,3.5181367827853,3546.0,0.0,77,17.9,N,N,,,,,,,,,,,,1.00837,MBA,0.2801557597732849,1284.999459912331,346.487059974633
44,,2.219472402722022,0.09435002384579574,5.389309488391962,61.34096625037041,130.9228612777474,2.010065128600114,2.42887967684393,3.30660886859932,5241.0,0,123,17.7,N,N,,,,,,,,,,,,1.01369,MBA,0.2980776749035538,1207.738889255902,174.3112200845832
